case,dice,mean_conf_pred,max_prob,pred_vol_ml,arch,cohort
BLITS_053,0.3945,0.8944588303565979,0.9997536540031432,110938.0,resenc,lits
BLITS_054,0.0,0.7460933327674866,0.9903476238250732,49921.0,resenc,lits
BLITS_055,0.5508,0.8706919550895691,0.998460292816162,15008.0,resenc,lits
BLITS_056,0.3013,0.7335168123245239,0.9524857997894288,2657.0,resenc,lits
BLITS_057,0.0,0.7030539512634277,0.926901400089264,1742.0,resenc,lits
BLITS_058,0.7957,0.9181535243988036,0.9999302625656128,1870963.0,resenc,lits
BLITS_059,0.3444,0.8547192215919495,0.99967622756958,25761.0,resenc,lits
BLITS_060,0.0,0.0,0.0501907877624034,0.0,resenc,lits
BLITS_061,0.0,0.5636617541313171,0.669204592704773,467.0,resenc,lits
BLITS_062,0.3645,0.8681190013885498,0.9978718757629396,41847.0,resenc,lits
BLITS_063,0.0,0.520229160785675,0.5462995171546936,29.0,resenc,lits
BLITS_064,0.0,0.0,0.495352953672409,0.0,resenc,lits
BLITS_065,0.8633,0.965180277824402,0.9999951124191284,39394.0,resenc,lits
BLITS_066,0.0619,0.8641645312309265,0.9999706745147704,143348.0,resenc,lits
BLITS_067,0.0,0.0,0.3698270320892334,0.0,resenc,lits
BLITS_068,0.1186,0.9228768944740297,0.9999412298202516,35224.0,resenc,lits
BLITS_069,0.8523,0.9637241959571838,0.999990463256836,139318.0,resenc,lits
BLITS_070,0.8088,0.9549744129180908,0.9999947547912598,16796.0,resenc,lits
BLITS_071,0.1538,0.6864839196205139,0.894789457321167,197.0,resenc,lits
BLITS_072,0.0,0.0,0.0270404703915119,0.0,resenc,lits
BLITS_073,0.0,0.7764465808868408,0.9908213019371032,284843.0,resenc,lits
BLITS_074,0.8561,0.9474948048591614,0.9994896650314332,254121.0,resenc,lits
BLITS_075,0.5175,0.8667445778846741,0.9979251623153688,2331.0,resenc,lits
BLITS_076,0.0,0.0,0.1870584338903427,0.0,resenc,lits
BLITS_077,0.0,0.0,0.0316786244511604,0.0,resenc,lits
BLITS_078,0.6811,0.910978138446808,0.9999959468841552,48525.0,resenc,lits
BLITS_079,0.7164,0.9483120441436768,0.9999997615814208,20125.0,resenc,lits
BLITS_080,0.312,0.7948505878448486,0.9998902082443236,10836.0,resenc,lits
BLITS_081,0.3319,0.7680925130844116,0.9592689275741576,636.0,resenc,lits
BLITS_082,0.0195,0.5816394090652466,0.6902981400489807,29.0,resenc,lits
BLITS_083,0.9251,0.9678371548652648,0.9999020099639891,200350.0,resenc,lits
BLITS_084,0.0,0.0,0.1034765243530273,0.0,resenc,lits
BLITS_085,0.4889,0.7778541445732117,0.9960699081420898,1573.0,resenc,lits
BLITS_086,0.0,0.0,0.2639786899089813,0.0,resenc,lits
BLITS_087,0.2283,0.7978081703186035,0.9999916553497314,34587.0,resenc,lits
BLITS_088,0.6417,0.7842481732368469,0.995345413684845,3286.0,resenc,lits
BLITS_089,0.7036,0.9358068108558656,0.9999988079071044,47130.0,resenc,lits
BLITS_090,0.8781,0.937500536441803,0.999903917312622,111806.0,resenc,lits
BLITS_091,0.8123,0.9455275535583496,0.9999489784240724,121570.0,resenc,lits
BLITS_092,0.8605,0.946930170059204,0.9999997615814208,24386.0,resenc,lits
BLITS_093,0.0267,0.5183843374252319,0.5436356663703918,8.0,resenc,lits
BLITS_094,0.38,0.8418156504631042,0.9963428378105164,46854.0,resenc,lits
BLITS_095,0.0948,0.77812659740448,0.9998511075973512,34454.0,resenc,lits
BLITS_096,0.7821,0.9223510026931764,0.9999939203262328,195966.0,resenc,lits
BLITS_097,0.7676,0.9244022965431212,0.999993085861206,5117.0,resenc,lits
BLITS_098,0.5039,0.8836418986320496,0.9998817443847656,4356.0,resenc,lits
BLITS_099,0.5377,0.8822282552719116,0.999646544456482,3807.0,resenc,lits
BLITS_100,0.5409,0.9045326709747314,0.9999992847442628,43581.0,resenc,lits
BLITS_101,0.9139,0.9637574553489684,0.9999990463256836,85340.0,resenc,lits
BLITS_102,0.7312,0.9529590010643004,0.9999984502792358,8741.0,resenc,lits
