cohort,case,resenc,umamba,swin,resenc+umamba,resenc+swin,umamba+swin,resenc+umamba+swin
lits,BLITS_071,0.15378356387306755,0.3709038530788621,0.08211450904548934,0.2411513029949436,0.3321060382916053,0.4524701873935264,0.3802363050483351
lits,BLITS_072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_074,0.856099904674035,0.7277069825569595,0.6960466437090663,0.828378793129053,0.8414123485723148,0.7502507066308544,0.8243843834411709
lits,BLITS_075,0.5172915500839396,0.141027445460943,0.09495359009922116,0.3518842026453706,0.3072611464968153,0.1305024769992923,0.23930712858094605
lits,BLITS_076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_078,0.6811181118111811,0.7006140860731344,0.1977861599746184,0.7283044763513513,0.6613541085234493,0.6067092306027486,0.6883404465887302
lits,BLITS_079,0.7164131711808973,0.5572239561573812,0.13174257598188627,0.6340315895597625,0.5899801897612345,0.5212137918360784,0.5776622317377784
lits,BLITS_080,0.31195462478184993,0.720754716981132,0.25663581036158134,0.7443029490616622,0.6660271344388105,0.6168993020937188,0.7154046997389034
lits,BLITS_081,0.33194154488517746,0.0,0.0,0.07990387503754881,0.0,0.0,0.0
lits,BLITS_082,0.019525801952580194,0.13002364066193853,0.0011153423304281322,0.10025706940874037,0.05033112582781457,0.09297912713472485,0.09974424552429667
lits,BLITS_083,0.925055937255398,0.9031288218507949,0.8218693667589768,0.9159272508268131,0.913016859753226,0.8978673694489107,0.9108958574458004
lits,BLITS_084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_085,0.48899129544290837,0.3169642857142857,0.11106201207836205,0.3913190912173618,0.28204186558942346,0.26659167604049494,0.31347517730496455
lits,BLITS_086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_087,0.22829639012032932,0.15734834271419637,0.025391050359343574,0.21916934474891445,0.13725458459446774,0.09263293794884209,0.15843695777906305
lits,BLITS_088,0.6416627598062197,0.6031575555794222,0.011432523699092721,0.7668664515137544,0.482007996446024,0.466163489829858,0.6325247079964061
lits,BLITS_089,0.7035649637972646,0.7589446168926646,0.1297524949729885,0.7543255388423971,0.6674423574668155,0.6600375234521576,0.7208235052815096
lits,BLITS_090,0.878088019580937,0.6170706244180469,0.45329912188955523,0.7747454254613554,0.7971372665598836,0.5981822226459466,0.6866238841286344
lits,BLITS_091,0.8122628267457654,0.7892300371795182,0.6383473645549018,0.8034013340094395,0.7740126672237537,0.7587222831519606,0.7838325771432644
lits,BLITS_092,0.8604919786096257,0.7995250184260093,0.6325174981053007,0.8476920122068332,0.8100204698313676,0.7497130781702585,0.8151020736216043
lits,BLITS_093,0.02666666666666667,0.0,0.023454157782515993,0.0,0.11464968152866242,0.0,0.0
lits,BLITS_094,0.37996142765303936,0.19845252310516906,0.0,0.34667652989393055,0.13783348778227578,0.024576974329318886,0.13848710733738132
lits,BLITS_095,0.09478698495572839,0.7143800924906408,0.008616544534841229,0.7373693379790941,0.10548449272822849,0.6610657705232837,0.2283243243243243
lits,BLITS_096,0.7820804469617998,0.788404317541341,0.6790762260048707,0.7924107782030602,0.762923178345678,0.7537113287698943,0.7705778926654324
lits,BLITS_097,0.7676184365308523,0.7203236452677526,0.052024354619007764,0.7456393793472446,0.6499891233413095,0.567239050742813,0.7157642444710752
lits,BLITS_098,0.5039407977859335,0.39406831165674,0.03930272472239263,0.4130559267035694,0.38789208725958435,0.4096149129261712,0.39768860353130014
lits,BLITS_099,0.537542662116041,0.521752641392169,0.3003553660270078,0.5365702319087877,0.4498355263157895,0.4396861719516182,0.5041590747049037
lits,BLITS_100,0.540895540926593,0.5418884753694194,0.10664006535870324,0.547638564852765,0.5857550980198996,0.5304942557851917,0.5933677080173896
lits,BLITS_101,0.9138581525151346,0.913866218362254,0.8833664749825334,0.9154785914644041,0.9112145063378023,0.9129047640673963,0.9143809338387714
